@relation rationale
@attribute sentence string
@attribute classification string
@data
" Another_DT non_AFX -_HYPH reproducing_VBG failure_NN ,_, from_IN my_PRP$ Jenkins_NNP :_: \n\n__SP Checking_VBG out_RP Revision_NN 85a27a231fdddb118ee178baac170da0097a02c0_CD (_-LRB- refs_NNS /_SYM remotes_NNS /_SYM origin_NN /_SYM master_NN )_-RRB- \n_ [_-LRB- ..._NFP ]_-RRB- \n   __SP [_-LRB- junit4_NNP ]_-RRB- Suite_NN :_: org.apache.lucene.index.TestBinaryDocValuesUpdates_VBZ \n   __SP [_-LRB- junit4_NNP ]_-RRB- IGNOR_NNP /_SYM A_DT 0.00s_JJ J0_NNP |_NN TestBinaryDocValuesUpdates.testTonsOfUpdates_NNS \n   __SP [_-LRB- junit4_NNS ]_-RRB-    __SP >_XX Assumption_NN #_$ 1_CD :_: '_`` nightly_JJ '_'' test_NN group_NN is_VBZ disabled_JJ (_-LRB- @Nightly_RB (_-LRB- )_-RRB- )_-RRB- \n   __SP [_-LRB- junit4_NN ]_-RRB-   __SP 1_CD >_XX TEST_NN :_: isNRT_NNP =_SYM true_JJ reader1=StandardDirectoryReader(segments:3:nrt_NN __NN 0(7.0.0):c2_NNS )_-RRB- \n   __SP [_-LRB- junit4_NN ]_-RRB-   __SP 1_CD >_XX TEST_NN :_: now_RB reopen_VB \n   __SP [_-LRB- junit4_NN ]_-RRB-   __SP 2_CD >_XX NOTE_NN :_: reproduce_VB with_IN :_: ant_NN test_NN  _ -Dtestcase_VB =_SYM TestBinaryDocValuesUpdates_NNS -Dtests.method_: =_SYM testManyReopensAndFields_NNS -Dtests.seed=61A674A498110EC0_CD -Dtests.slow_NN =_SYM true_JJ -Dtests.locale_NN =_SYM ja_NNP -_HYPH JP_NNP -Dtests.timezone_NN =_SYM Greenwich_NNP -Dtests.asserts_VBZ =_SYM true_JJ -Dtests.file.encoding_NN =_SYM US_NNP -_HYPH ASCII_NNP \n   __SP [_-LRB- junit4_NNP ]_-RRB- FAILURE_NN 0.07s_VBZ J0_NNP |_NNP TestBinaryDocValuesUpdates.testManyReopensAndFields_NNS <_XX <_XX <_XX \n   __SP [_-LRB- junit4_NNS ]_-RRB-    __SP >_XX Throwable_JJ #_$ 1_CD :_: java.lang.AssertionError_NN :_: invalid_JJ value_NN for_IN doc=0_NN ,_, field_NN =_SYM f0_NN ,_, reader=_4(7.0.0):c19_NN expected:<4_NNP >_XX but_CC was:<3_NNP >_XX \n   __SP [_-LRB- junit4_NNS ]_-RRB-    __SP >_XX \t_ at_IN __NN __NN randomizedtesting_NN ._. SeedInfo.seed([61A674A498110EC0:575A168B19E46DDC]:0_NN )_-RRB- \n   __SP [_-LRB- junit4_NNS ]_-RRB-    __SP >_XX \t_ at_IN org.apache.lucene.index.TestBinaryDocValuesUpdates.testManyReopensAndFields(TestBinaryDocValuesUpdates.java:844_NN )_-RRB- \n   __SP [_-LRB- junit4_NNS ]_-RRB-    __SP >_XX \t_ at_IN java.lang.Thread.run(Thread.java:745_NNP )_-RRB- \n   __SP [_-LRB- junit4_NN ]_-RRB-   __SP 2_CD >_XX NOTE_NN :_: test_NN params_NNS are_VBP :_: codec_NNP =_SYM Lucene70_NNP ,_, sim_NN =_SYM RandomSimilarity(queryNorm_NN =_SYM false_JJ )_-RRB- :_: {_-LRB- }_-RRB- ,_, locale_NN =_SYM ja_NNP -_HYPH JP_NNP ,_, timezone_NN =_SYM Greenwich_NNP \n   __SP [_-LRB- junit4_NN ]_-RRB-   __SP 2_CD >_XX NOTE_NN :_: Linux_NNP 4.1.0-custom2-amd64_CD amd64/Oracle_NNP Corporation_NNP 1.8.0_77_CD (_-LRB- 64-bit)/cpus=16,threads=1,free=220134656,total=306184192_FW \n   __SP [_-LRB- junit4_NN ]_-RRB-   __SP 2_CD >_XX NOTE_NN :_: All_DT tests_NNS run_VBP in_IN this_DT JVM_NN :_: [_-LRB- TestStringMSBRadixSorter_NN ,_, TestSpanTermQuery_NN ,_, TestOmitPositions_NNS ,_, TestIndexableField_VBD ,_, TestHighCompressionMode_NNP ,_, TestDeterminizeLexicon_RB ,_, TestPackedTokenAttributeImpl_VB ,_, TestTopDocsCollector_NNP ,_, TestIndexOrDocValuesQuery_NN ,_, TestDocValuesRewriteMethod_NNP ,_, TestDocument_NNP ,_, TestCrash_NNP ,_, TestWildcardRandom_NN ,_, TestDocIdSetBuilder_NN ,_, TestFilterLeafReader_NNP ,_, TestMergedIterator_NN ,_, TestMultiThreadTermVectors_NNS ,_, TestAtomicUpdate_VBP ,_, TestNorms_NNPS ,_, Test4GBStoredFields_VBZ ,_, TestFixedLengthBytesRefArray_NNP ,_, TestFieldInvertState_JJ ,_, TestBoolean2ScorerSupplier_NNP ,_, TestLevenshteinAutomata_NN ,_, TestGraphTokenStreamFiniteStrings_NNS ,_, TestStandardAnalyzer_RB ,_, TestSegmentReader_VB ,_, TestScorerPerf_NNP ,_, TestBoostQuery_JJ ,_, TestMergePolicyWrapper_NNP ,_, TestComplexExplanations_NNS ,_, TestPointQueries_NNS ,_, TestMixedCodecs_NNS ,_, TestPointValues_NNS ,_, TestMultiMMap_NNP ,_, TestLazyProxSkipping_VBG ,_, TestTerms_NNP ,_, TestIndexWriterThreadsToSegments_NNS ,_, TestFilterWeight_NNP ,_, TestDocumentsWriterDeleteQueue_NNP ,_, TestCharFilter_NNP ,_, TestDocInverterPerFieldErrorInfo_NNP ,_, TestSimilarityProvider_NN ,_, LimitedFiniteStringsIteratorTest_JJS ,_, TestNewestSegment_JJ ,_, TestFSTs_NNP ,_, TestClassicSimilarity_NN ,_, TestUnicodeUtil_NNP ,_, TestQueryBuilder_JJR ,_, TestSwappedIndexFiles_NNS ,_, TestTimSorterWorstCase_UH ,_, TestBinaryDocValuesUpdates_NNS ]_-RRB-",'relevant'
" Another_DT non_AFX -_HYPH reproducing_VBG failure_NN ,_, from_IN https://jenkins.thetaphi.de/job/Lucene-Solr-master-Linux/19961/_NNP (_-LRB- log_NN -_HYPH and_CC commit_VB sha_FW -_: no_RB longer_RBR available_JJ ;_: the_DT notification_NN email_NN arrived_VBD on_IN June_NNP 24_CD at_IN 10:37PM_CD )_-RRB- :_: \n\n__SP [_-LRB- ..._NFP ]_-RRB- \n  __SP [_-LRB- junit4_NN ]_-RRB- Suite_NN :_: org.apache.lucene.index.TestBinaryDocValuesUpdates_VBZ \n  __SP [_-LRB- junit4_NN ]_-RRB-   __SP 1_CD >_XX TEST_NN :_: isNRT_NNP =_SYM false_JJ reader1=StandardDirectoryReader(segments_1:4_NN __NN 0(7.0.0):C2_NN )_-RRB- \n  __SP [_-LRB- junit4_NN ]_-RRB-   __SP 1_CD >_XX TEST_NN :_: now_RB reopen_VBP \n  __SP [_-LRB- junit4_NN ]_-RRB-   __SP 2_CD >_XX NOTE_NN :_: reproduce_VB with_IN :_: ant_NN test_NN  _ -Dtestcase_VB =_SYM TestBinaryDocValuesUpdates_NNS -Dtests.method_: =_SYM testManyReopensAndFields_NNS -Dtests.seed=3A4BC284D906CE1A_NN -Dtests.multiplier=3_: -Dtests.slow_NN =_SYM true_JJ -Dtests.locale_NN =_SYM hr_NN -_HYPH HR_NN -Dtests.timezone_NN =_SYM Pacific_NNP /_SYM Pitcairn_NNP -Dtests.asserts_VBZ =_SYM true_JJ -Dtests.file.encoding_NN =_ADD UTF-8_VB \n  __SP [_-LRB- junit4_NN ]_-RRB- FAILURE_NN 0.65s_CD J2_NNP |_NNP TestBinaryDocValuesUpdates.testManyReopensAndFields_NNS <_XX <_XX <_XX \n  __SP [_-LRB- junit4_NN ]_-RRB-    __SP >_XX Throwable_JJ #_$ 1_CD :_: java.lang.AssertionError_NN :_: invalid_JJ value_NN for_IN doc=0_NN ,_, field_NN =_SYM f4_XX ,_, reader=_28(7.0.0):C936_VBD expected:<12_NNP >_XX but_CC was:<11_JJ >_XX \n  __SP [_-LRB- junit4_NN ]_-RRB-    __SP >_XX \t_ at_IN __NN __NN randomizedtesting_NN ._. SeedInfo.seed([3A4BC284D906CE1A_JJ :_: CB7A0AB58F3AD06]:0_NNP )_-RRB- \n  __SP [_-LRB- junit4_NN ]_-RRB-    __SP >_XX \t_ at_IN org.apache.lucene.index.TestBinaryDocValuesUpdates.testManyReopensAndFields(TestBinaryDocValuesUpdates.java:844_NN )_-RRB- \n  __SP [_-LRB- junit4_NN ]_-RRB-    __SP >_XX \t_ at_IN java.lang.Thread.run(Thread.java:748_NNP )_-RRB- \n  __SP [_-LRB- junit4_NNS ]_-RRB- IGNOR_NNP /_SYM A_NNP 0.00s_VBP J2_NNP |_NN TestBinaryDocValuesUpdates.testTonsOfUpdates_NNS \n  __SP [_-LRB- junit4_NN ]_-RRB-    __SP >_XX Assumption_NN #_$ 1_CD :_: '_`` nightly_JJ '_'' test_NN group_NN is_VBZ disabled_JJ (_-LRB- @Nightly_RB (_-LRB- )_-RRB- )_-RRB- \n  __SP [_-LRB- junit4_NN ]_-RRB-   __SP 2_CD >_XX NOTE_NN :_: test_NN params_NNS are_VBP :_: codec_NNP =_: HighCompressionCompressingStoredFields(storedFieldsFormat_NNP =_SYM CompressingStoredFieldsFormat(compressionMode_NNP =_SYM HIGH_COMPRESSION_NNP ,_, chunkSize=12304_NNP ,_, maxDocsPerChunk=1_NN ,_, blockSize=26_NN )_-RRB- ,_, termVectorsFormat_NN =_SYM CompressingTermVectorsFormat(compressionMode_NNP =_SYM HIGH_COMPRESSION_NNP ,_, chunkSize=12304_NNP ,_, blockSize=26_NN )_-RRB- )_-RRB- ,_, sim_NN =_SYM RandomSimilarity(queryNorm_NN =_SYM false_JJ )_-RRB- :_: {_-LRB- }_-RRB- ,_, locale_NN =_SYM hr_NN -_HYPH HR_NN ,_, timezone_NN =_SYM Pacific_NNP /_SYM Pitcairn_NNP \n  __SP [_-LRB- junit4_NN ]_-RRB-   __SP 2_CD >_XX NOTE_NN :_: Linux_NNP 4.10.0_CD -_HYPH 21-generic_CD amd64/Oracle_NNP Corporation_NNP 1.8.0_131_CD (_-LRB- 64-bit)/cpus=8,threads=1,free=302943312,total=518979584_CD \n  __SP [_-LRB- junit4_NN ]_-RRB-   __SP 2_CD >_XX NOTE_NN :_: All_DT tests_NNS run_VBP in_IN this_DT JVM_NN :_: [_-LRB- TestDirectPacked_VBN ,_, TestFieldCacheRewriteMethod_NNP ,_, TestBagOfPostings_NNS ,_, TestEarlyTermination_NN ,_, TestReaderWrapperDVTypeCheck_NN ,_, TestNeedsScores_NNS ,_, TestRoaringDocIdSet_NNP ,_, TestShardSearching_NN ,_, TestSpansEnum_NNP ,_, TestSegmentTermEnum_NNP ,_, TestLongPostings_NNS ,_, TestIndexReaderClose_NN ,_, TestLucene70NormsFormat_NNP ,_, TestReqExclBulkScorer_NNP ,_, TestField_NNP ,_, TestSegmentTermDocs_NNP ,_, TestSimilarityBase_NN ,_, TestGeoEncodingUtils_NNP ,_, TestPayloadsOnVectors_NNS ,_, TestCharTermAttributeImpl_NN ,_, TestDisjunctionMaxQuery_NN ,_, TestTermRangeQuery_NN ,_, TestLongValuesSource_NN ,_, TestCachingTokenFilter_NNP ,_, TestOfflineSorter_NN ,_, TestTopDocsCollector_NN ,_, TestBufferedIndexInput_NN ,_, TestTermScorer_NNP ,_, TestPerFieldPostingsFormat2_NNP ,_, TestConsistentFieldNumbers_NNS ,_, TestFieldsReader_JJR ,_, TestConjunctions_NNP ,_, TestSloppyPhraseQuery2_NNP ,_, TestSetOnce_NN ,_, TestRollingUpdates_NNS ,_, TestIndexWriterLockRelease_NNP ,_, TestIndexWriterMergePolicy_NN ,_, TestRollingBuffer_NNPS ,_, TestBinaryDocument_NNP ,_, TestSimpleFSLockFactory_NN ,_, TestIndexingSequenceNumbers_NNS ,_, FiniteStringsIteratorTest_JJS ,_, TestGraphTokenStreamFiniteStrings_NNPS ,_, TestSentinelIntSet_NNP ,_, TestHugeRamFile_NN ,_, TestSortedNumericSortField_NNP ,_, TestMultiCollector_NN ,_, TestSpanNotQuery_NNP ,_, TestAllFilesHaveCodecHeader_NN ,_, TestTrackingDirectoryWrapper_NNP ,_, TestControlledRealTimeReopenThread_NN ,_, TestDirectoryReader_NN ,_, TestDocValues_NNS ,_, TestDoubleRangeFieldQueries_NNPS ,_, TestSpanCollection_NNP ,_, TestDemoParallelLeafReader_NNP ,_, TestSpans_NNPS ,_, TestTerms_NNPS ,_, Test2BBinaryDocValues_NNS ,_, TestParallelCompositeReader_NN ,_, TestArrayUtil_NNP ,_, TestPrefixQuery_NNP ,_, TestAttributeSource_NN ,_, TestByteBlockPool_NNP ,_, TestCompiledAutomaton_NNP ,_, TestSimpleExplanationsOfNonMatches_NNS ,_, TestDocValuesScoring_NN ,_, TestExceedMaxTermLength_NN ,_, TestNRTThreads_NNP ,_, TestLazyProxSkipping_VBG ,_, TestSimilarity2_NN ,_, TestSearchWithThreads_NNS ,_, TestPolygon2D_NNP ,_, TestGrowableByteArrayDataOutput_NN ,_, TestIndexCommit_NN ,_, TestBasics_NNP ,_, TestSearcherManager_NN ,_, TestNorms_NNPS ,_, TestStandardAnalyzer_RB ,_, TestTopDocsMerge_NN ,_, TestMinimize_NNP ,_, TestNRTReaderWithThreads_NNP ,_, TestIndexWriterForceMerge_VB ,_, TestPerFieldPostingsFormat_RB ,_, TestCollectionUtil_NNP ,_, TestFastDecompressionMode_NNP ,_, TestSort_NNP ,_, TestMultiDocValues_NNP ,_, TestCustomSearcherSort_NN ,_, TestTermsEnum2_NNP ,_, Test2BDocs_NNP ,_, TestMixedCodecs_NNS ,_, TestSpanExplanations_NNS ,_, TestFastCompressionMode_NNP ,_, TestStressIndexing2_NNP ,_, TestMultiPhraseQuery_NN ,_, TestDeterminism_NNP ,_, TestMergeSchedulerExternal_JJ ,_, TestForceMergeForever_NNP ,_, TestSameScoresWithThreads_NNS ,_, TestMultiFields_NNPS ,_, TestLiveFieldValues_NNS ,_, TestSpanSearchEquivalence_VB ,_, TestPayloads_NNP ,_, TestDoc_NNP ,_, TestFieldMaskingSpanQuery_NNP ,_, TestExternalCodecs_RB ,_, TestRegexpQuery_NNP ,_, TestIntBlockPool_NNP ,_, TestComplexExplanationsOfNonMatches_NNS ,_, TestParallelReaderEmptyIndex_NNP ,_, TestDocument_NNP ,_, TestFileSwitchDirectory_NN ,_, TestDirectory_NNP ,_, TestRegexpRandom_NNP ,_, TestMultiLevelSkipList_NN ,_, TestCheckIndex_NN ,_, TestBooleanQueryVisitSubscorers_NNS ,_, TestMatchAllDocsQuery_NNP ,_, TestSubScorerFreqs_NNP ,_, TestIndexWriterConfig_NNP ,_, TestPositionIncrement_NN ,_, TestSpanExplanationsOfNonMatches_NNS ,_, TestFilterLeafReader_NNP ,_, TestSameTokenSamePosition_NNP ,_, TestAutomatonQueryUnicode_NNP ,_, TestRamUsageEstimator_NNP ,_, TestSpanFirstQuery_NN ,_, TestIsCurrent_NN ,_, TestNoMergePolicy_NN ,_, TestNoMergeScheduler_NNP ,_, TestNamedSPILoader_NN ,_, TestBytesRef_NN ,_, TestCharFilter_NNP ,_, TestTwoPhaseCommitTool_JJ ,_, TestCloseableThreadLocal_NNP ,_, TestVersion_NNP ,_, TestReaderClosed_VBN ,_, TestNGramPhraseQuery_NNP ,_, TestIntsRef_NNP ,_, Test2BPositions_NNS ,_, Test2BPostingsBytes_NNP ,_, Test2BTerms_NNS ,_, TestByteArrayDataInput_NNP ,_, Test2BPagedBytes_NNPS ,_, TestCharArraySet_NNPS ,_, TestDelegatingAnalyzerWrapper_JJ ,_, TestStopFilter_NN ,_, TestBlockPostingsFormat_VBZ ,_, TestLucene50TermVectorsFormat_NNP ,_, Test2BSortedDocValuesOrds_NNPS ,_, TestAllFilesCheckIndexHeader_VB ,_, TestAllFilesHaveChecksumFooter_NNP ,_, TestBinaryDocValuesUpdates_NNP ]_-RRB- \n  __SP [_-LRB- junit4_NN ]_-RRB- Completed_VBN [_-LRB- 362/453_CD (_-LRB- 1_CD !_. )_-RRB- ]_-RRB-",'relevant'
' on_IN J2_NNP in_IN 6.22s_CD ,_, 29_CD tests_NNS ,_, 1_CD failure_NN ,_, 1_CD skipped_VBD <_XX <_XX <_XX FAILURES_NNP !_.','irrelevant'
" I_PRP 'll_MD tackle_VB this_DT ._.",'irrelevant'
" Commit_VB eaf1d45a1cad74a1037c7c4178fd2379a903f8cc_NNP in_IN lucene_NN -_HYPH solr_NN 's_POS branch_NN refs_NNS /_SYM heads_NNS /_SYM master_NN from_IN Mike_NNP McCandless_NNP \n_ [_-LRB- https://git-wip-us.apache.org/repos/asf?p=lucene-solr.git;h=eaf1d45_NNP ]_-RRB- \n_ LUCENE-7888_NNP :_: fix_VB concurrency_NN hazards_NNS between_IN merge_NN completing_NN and_CC DV_NNP updates_NNS applying_VBG",'irrelevant'
' I_PRP think_VBP these_DT should_MD be_VB fixed_VBN now_RB ._.','irrelevant'
" It_PRP was_VBD a_DT tricky_JJ concurrency_NN hazard_NN ,_, where_WRB an_DT indexing_NN thread_NN that_WDT 's_VBZ resolving_VBG DV_NNP updates_NNS thinks_VBZ it_PRP 's_VBZ done_VBN just_RB as_IN a_DT merge_NN is_VBZ wrapping_VBG up_RP and_CC in_IN that_DT case_NN there_EX was_VBD a_DT window_NN between_IN the_DT two_CD threads_NNS where_WRB DV_NNP updates_NNS could_MD be_VB lost_VBN ._.",'relevant'
' Thanks_NNP Steve_NNP Rowe_NNP ._.','irrelevant'
' Mike_NNP ,_, any_DT reason_NN not_RB to_TO backport_VB to_IN branch_7x_NNP and_CC branch_7_0_NNP ?_.','irrelevant'
" There_EX was_VBD a_DT recent_JJ failure_NN on_IN a_DT Jenkins_NNP branch_7x_NNP job_NN https://jenkins.thetaphi.de/job/Lucene-Solr-7.x-Linux/9/_NNS :_: \n\n__SP Checking_VBG out_RP Revision_NN 758cbd98a7aa020ad67aea775028badf0be6418c_CD (_-LRB- refs_NNS /_SYM remotes_NNS /_SYM origin_NN /_SYM branch_7x_NNP )_-RRB- \n_ [_-LRB- ..._NFP ]_-RRB- \n   __SP [_-LRB- junit4_NN ]_-RRB-   __SP 2_CD >_XX NOTE_NN :_: reproduce_VB with_IN :_: ant_NN test_NN  _ -Dtestcase_VB =_SYM TestMixedDocValuesUpdates_NN -Dtests.method_: =_SYM testManyReopensAndFields_NNS -Dtests.seed_: =_SYM D57106AE532F4164_JJ -Dtests.multiplier=3_NFP -Dtests.slow_NN =_SYM true_JJ -Dtests.locale_NN =_SYM qu_NN -_HYPH PE_NNP -Dtests.timezone_NN =_SYM America_NNP /_SYM Yakutat_NNP -Dtests.asserts_VBZ =_SYM true_JJ -Dtests.file.encoding_NN =_ADD UTF-8_VBP \n   __SP [_-LRB- junit4_NNS ]_-RRB- FAILURE_NN 0.44s_NN J2_NNP |_NNP TestMixedDocValuesUpdates.testManyReopensAndFields_NNS <_XX <_XX <_XX \n   __SP [_-LRB- junit4_NNS ]_-RRB-    __SP >_XX Throwable_JJ #_$ 1_CD :_: java.lang.AssertionError_NN :_: invalid_JJ binary_JJ value_NN for_IN doc=0_NN ,_, field_NN =_SYM f2_NN ,_, reader=_y(7.1.0):C435:fieldInfosGen=2:dvGen=2_NN expected:<7_NNP >_XX but_CC was:<6_NNP >_XX \n   __SP [_-LRB- junit4_NNS ]_-RRB-    __SP >_XX \t_ at_IN __NN __NN randomizedtesting_NN ._. SeedInfo.seed([D57106AE532F4164:E38D6481D2DA2278]:0_LS )_-RRB- \n   __SP [_-LRB- junit4_NNS ]_-RRB-    __SP >_XX \t_ at_IN org.apache.lucene.index.TestMixedDocValuesUpdates.testManyReopensAndFields(TestMixedDocValuesUpdates.java:141_CD )_-RRB- \n   __SP [_-LRB- junit4_NNS ]_-RRB-    __SP >_XX \t_ at_IN java.base/jdk.internal.reflect.NativeMethodAccessorImpl.invoke0(Native_JJ Method_NNP )_-RRB- \n   __SP [_-LRB- junit4_NNS ]_-RRB-    __SP >_XX \t_ at_IN java.base/jdk.internal.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62_NNP )_-RRB- \n   __SP [_-LRB- junit4_NNS ]_-RRB-    __SP >_XX \t_ at_IN java.base/jdk.internal.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43_NN )_-RRB- \n   __SP [_-LRB- junit4_NNS ]_-RRB-    __SP >_XX \t_ at_IN java.base/java.lang.reflect.Method.invoke(Method.java:564_NN )_-RRB- \n   __SP [_-LRB- junit4_NNS ]_-RRB-    __SP >_XX \t_ at_IN java.base/java.lang.Thread.run(Thread.java:844_RB )_-RRB- \n   __SP [_-LRB- junit4_NNP ]_-RRB- IGNOR_NNP /_SYM A_NNP 0.00s_VBP J2_NNP |_NNP TestMixedDocValuesUpdates.testTonsOfUpdates_VBZ \n   __SP [_-LRB- junit4_NNS ]_-RRB-    __SP >_XX Assumption_NN #_$ 1_CD :_: '_`` nightly_JJ '_'' test_NN group_NN is_VBZ disabled_JJ (_-LRB- @Nightly_RB (_-LRB- )_-RRB- )_-RRB- \n   __SP [_-LRB- junit4_NN ]_-RRB-   __SP 2_CD >_XX NOTE_NN :_: leaving_VBG temporary_JJ files_NNS on_IN disk_NN at_IN :_: /home_NN /_SYM jenkins_NNS /_SYM workspace_NNP /_SYM Lucene_NNP -_HYPH Solr-7.x_NNP -_HYPH Linux_NNP /_SYM lucene_NN /_SYM build_VBP /_SYM core_NN /_SYM test_NN /_SYM J2/temp_NNP /_SYM lucene.index_NN ._. TestMixedDocValuesUpdates_D57106AE532F4164_NN -_HYPH 001_CD \n   __SP [_-LRB- junit4_NN ]_-RRB-   __SP 2_CD >_XX NOTE_NN :_: test_NN params_NNS are_VBP :_: codec_JJ =_: Asserting(Lucene70_NNP )_-RRB- ,_, sim_NN =_SYM RandomSimilarity(queryNorm_NN =_SYM true_JJ )_-RRB- :_: {_-LRB- }_-RRB- ,_, locale_NN =_SYM qu_NN -_HYPH PE_NNP ,_, timezone_NN =_SYM America_NNP /_SYM Yakutat_NNP \n   __SP [_-LRB- junit4_NN ]_-RRB-   __SP 2_CD >_XX NOTE_NN :_: Linux_NNP 4.10.0_CD -_HYPH 21-generic_CD amd64/Oracle_NNP Corporation_NNP 9_CD (_-LRB- 64-bit)/cpus=8,threads=1,free=165322832,total=342360064_CD",'relevant'
