@relation rationale
@attribute sentence string
@attribute classification string
@data
' Hello_UH Walter_NNP ,_, \n_ Which_WDT version_NN of_IN Ubuntu_NNP are_VBP you_PRP running_VBG ?_.','irrelevant'
' Which_WDT version_NN of_IN WvDial_NNP \n_ are_VBP you_PRP trying_VBG to_TO install_VB ?_.','irrelevant'
' Saw_VBD the_DT same_JJ thing_NN just_RB now_RB ._.','irrelevant'
" wvdialconf_VBN was_VBD trying_VBG to_TO figure_VB out_RP what_WP 's_VBZ behind_IN my_PRP$ /dev_. /_SYM ttyS2_NN ._.",'relevant'
' What_WP actually_RB is_VBZ behind_IN that_DT device_NN is_VBZ a_DT Bluetooth_NNP adapter_NN ,_, which_WDT confused_VBD wvdialconf_VBN ._.','relevant'
' So_RB (_-LRB- according_VBG to_IN strace_NN )_-RRB- it_PRP did_VBD a_DT bunch_NN of_IN strange_JJ things_NNS with_IN that_DT device_NN ,_, and_CC then_RB busy_JJ -_: waited_VBN forever_RB in_IN a_DT select_NN (_-LRB- )_-RRB- loop_NN ._.','relevant'
' This_DT was_VBD a_DT new_JJ edgy_JJ install_NN ._.','relevant'
' It_PRP seems_VBZ that_IN wvdialconf_VBN needs_VBZ a_DT hard_JJ timeout_NN ,_, preferably_RB in_IN the_DT shell_NN script_NN that_WDT calls_VBZ it_PRP ._.','relevant'
" I_PRP got_VBD this_DT when_WRB updating_VBG to_IN 1.56_CD -_HYPH 1.1ubuntu2_CD (_-LRB- feisty_NN )_-RRB- ,_, because_IN I_PRP 'd_MD been_VBN using_VBG my_PRP$ IRDA_NNP earlier_RBR ,_, and_CC left_VBD the_DT ircom_NN -_HYPH tty_NN module_NN loaded_VBN ._.",'relevant'
' A_DT agree_VBP with_IN Matthias_NNP -_: it_PRP seems_VBZ that_IN wvdialconf_VBN needs_NNS timeouts_NNS ._.','relevant'
' OK_UH ..._.','irrelevant'
' I_PRP broke_VBD out_IN of_IN the_DT process_NN of_IN wvdial_JJ setting_NN up_RP and_CC got_VBD the_DT following_JJ message_NN :_: \n_ dpkg_NN :_: error_NN processing_VBG wvdial_JJ  _ (_-LRB- --configure_NFP )_-RRB- :_: \n\xa0__SP subprocess_NN post_NN -_HYPH installation_NN script_NN killed_VBN by_IN signal_NN (_-LRB- Interrupt_NNP )_-RRB- \n_ It_PRP then_RB continued_VBD to_TO setting_VBG up_RP xfonts_NNS -_HYPH base_NN and_CC other_JJ packages_NNS ..._.','relevant'
' However_RB ,_, now_RB there_EX seem_VBP to_TO be_VB more_JJR problems_NNS ._.','relevant'
' Later_RB on_IN down_IN :_: \n_ dpkg_NN :_: dependency_NN problems_NNS prevent_VBP configuration_NN of_IN ubuntu_NN -_HYPH desktop_NN :_: \n\xa0__SP ubuntu_NN -_HYPH desktop_NN depends_VBZ on_IN wvdial_JJ ;_: however_RB :_: \n\xa0\xa0__SP Package_NN wvdial_NN is_VBZ not_RB configured_VBN yet_RB ._.','relevant'
" dkpg_NN :_: error_NN processing_VBG ubuntu_NN -_HYPH desktop_NN (_-LRB- --configure_NN )_-RRB- :_: \n\xa0__SP dependency_NN problems_NNS -_HYPH leaving_VBG unconfigured_NN \n_ I_PRP have_VBP a_DT feeling_NN that_IN that_WDT ca_MD n't_RB be_VB good_JJ ._.",'relevant'
' Hi_UH ,_, \n_ amadeov_NN :_: \n\n__SP >_XX Setting_VBG up_RP wvdial_JJ (_-LRB- 1.56_CD -_HYPH 1.1ubuntu2_CD )_-RRB- ..._: \n_ >_XX \n\n\n__SP wvdial_JJ tries_NNS to_TO talk_VB to_IN your_PRP$ serial_JJ ports_NNS ,_, trying_VBG to_TO find_VB modems_NNS ._.','relevant'
" Long_RB -_HYPH standing_VBG bug_NN ,_, I_PRP 'm_VBP afraid_JJ ;_: I_PRP reported_VBD the_DT same_JJ thing_NN a_DT year_NN ago_RB ._.",'relevant'
' --_: \n_ Matthias_NNP Urlichs_NNPS   __SP |_NN   __SP {_-LRB- M_NN :_: U_NN }_-RRB- IT_NNP Design_NNP @_IN m-u-it.de_NN   __SP |_NNP  \n__SP Disclaimer_NNP :_: The_DT quote_NN was_VBD selected_VBN randomly_RB ._.','irrelevant'
' Really_RB ._.','irrelevant'
' |_NN http://smurf.noris.de_VBD \n\xa0__SP -_HYPH -_HYPH \n_ And_CC the_DT child_NN had_VBD a_DT permanently_RB runny_JJ nose_NN and_CC ought_MD to_TO be_VB provided_VBN with_IN a_DT \n_ handkerchief_NN or_CC ,_, failing_VBG that_IN ,_, a_DT cork_NN ._.','irrelevant'
' --_: Terry_NNP Pratchett_NNP (_-LRB- Lords_NNPS and_CC Ladies_NNS )_-RRB-','irrelevant'
' Two_CD years_NNS later_RB ,_, and_CC this_DT bug_NN is_VBZ still_RB present_JJ in_IN hardy_JJ heron_NN ._.','relevant'
' I_PRP had_VBD to_TO use_VB the_DT procedure_NN at_IN http://ubuntuforums.org/archive/index.php/t-254688.html_NNP to_TO work_VB around_IN it_PRP ._.','relevant'
' Same_JJ problem_NN upgrading_VBG from_IN 11.04_CD to_IN 11.10_CD ._.','relevant'
' I_PRP have_VBP a_DT random_JJ number_NN generator_NN connected_VBN to_IN /dev_. /_SYM ttyUSB0_NN ._.','relevant'
' :)_NFP  _ Is_VBZ that_DT hanging_VBG it_PRP ?_.','relevant'
" That_DT really_RB should_MD n't_RB happen_VB ._.",'relevant'
' I_PRP killed_VBD wvdialconf_JJ and_CC the_DT setup_NN continued_VBD ._.','relevant'
" [_-LRB- This_DT is_VBZ an_DT automated_JJ message_NN ]_-RRB- \n_ Hi_UH justinkinnaird_NN ,_, \n_ Please_UH attach_VB the_DT output_NN of_IN `_'' lspci_NN -vvnn_: `_'' ,_, and_CC attach_VB your_PRP$ /var_. /_SYM log_NN /_SYM Xorg.0.log_NNP file_NN from_IN after_IN reproducing_VBG this_DT issue_NN ._.",'irrelevant'
" If_IN you_PRP 've_VB made_VBN any_DT customizations_NNS to_IN your_PRP$ /etc_. /_NFP X11/xorg.conf_NNP please_UH attach_VB that_DT as_RB well_RB ._.",'irrelevant'
" Please_UH attach_VB the_DT output_NN of_IN `_'' lspci_NN -vvnn_: `_'' too_RB ._.",'irrelevant'
' Installing_VBG the_DT svn_NN version_NN of_IN openchrome_NN on_IN Intrepid_NNP works_VBZ fine_JJ ,_, but_CC in_IN Jaunty_NNP still_RB seems_VBZ to_TO fail_VB ..._NFP','relevant'
" I_PRP 'll_MD post_VB my_PRP$ xorg_NN log_NN when_WRB I_PRP can_MD ._.",'irrelevant'
' similar_JJ problem_NN https://bugs.launchpad.net/xserver-xorg-driver-vesa/+bug/293326_NNP ?_.','relevant'
' Then_RB attach_VB Xorg.0.log_NNP \n_ Try_VBP use_NN CTRL+ALT+F1_NN ,_, or_CC just_RB attach_VB Xorg.log.old_JJ or_CC Xorg.failsafe.log_NN file_NN after_IN reboot_NN ._.','relevant'
' Please_UH again_RB  _ build_NN ,_, install_VB the_DT latest_JJS openchrome_JJ version_NN according_VBG to_IN :_: \n_ https://help.ubuntu.com/community/OpenChrome_NN','relevant'
' Try_VB to_TO disable_VB DRI_NNP ._.','relevant'
' I_PRP created_VBD the_DT patch_NN which_WDT disable_JJ DRI_NNP (_-LRB- it_PRP use_VBP swrast_JJ instead_RB )_-RRB- \n_ Check_NN if_IN it_PRP works_VBZ for_IN you_PRP ._.','relevant'
' The_DT detail_NN build_VBP instruction_NN for_IN Ubuntu_NNP /_SYM Debian_NNP is_VBZ available_JJ at_IN :_: \n_ https://help.ubuntu.com/community/OpenChrome_NN \n_ Attach_VBP your_PRP$ /var_. /_SYM log_NN /_SYM Xorg.0.log_NNP file_NN ._.','irrelevant'
" This_DT graphics_NNS chip_NN does_VBZ n't_RB work_VB with_IN Lucid_NNP currently_RB (_-LRB- it_PRP was_VBD fine_JJ in_IN earlier_JJR versions_NNS )_-RRB- ._.",'relevant'
' On_IN the_DT current_JJ kernels_NNS (_-LRB- 2.6.32_CD -_HYPH 16-generic_CD and_CC 2.6.32_NNP -_HYPH 17-generic_CD )_-RRB- ,_, I_PRP am_VBP unable_JJ to_IN boot_NN ._.','relevant'
" Using_VBG the_DT old_JJ kernel_NN (_-LRB- 2.6.31_CD -_HYPH 19-generic_CD )_-RRB- ,_, Ubuntu_NNP can_MD boot_VB but_CC running_VBG '_'' startx_NN '_'' makes_VBZ the_DT system_NN hang_NN ._.",'relevant'
' Using_VBG vesa_NN always_RB fails_VBZ ._.','relevant'
' Will_MD try_VB disabling_VBG DRI_NNP ._.','relevant'
' Disabling_VBG DRI_NNP did_VBD it_PRP for_IN me_PRP ,_, but_CC only_RB using_VBG the_DT old_JJ (_-LRB- Karmic_JJ )_-RRB- kernel_NN ._.','relevant'
' Including_VBG the_DT (_-LRB- very_RB minimal_JJ )_-RRB- configuration_NN file_NN for_IN Teknics_NNP ._.','irrelevant'
" #_$ #_$ #_$ Trying_VBG to_TO test_VB Ubuntu_NNP GNOME_NNP 13.10_CD (_-LRB- Saucy_NNP Salamander_NNP )_-RRB- Beta_NN 1_CD \n_ I_PRP ca_MD n't_RB install_VB Ubuntu_NNP GNOME_NNP 13.10_CD (_-LRB- Saucy_NNP Salamander_NNP )_-RRB- Beta_NN 1_CD because_IN X_NN will_MD not_RB work_VB with_IN my_PRP$ graphics_NNS card_NN ._.",'relevant'
' When_WRB I_PRP boot_VBP from_IN the_DT DVD_NN ,_, I_PRP see_VBP a_DT screen_NN that_WDT says_VBZ Ubuntu_NNP 13.10_CD ,_, with_IN a_DT row_NN of_IN scrolling_VBG dots_NNS under_IN it_PRP ._.','relevant'
' I_PRP expect_VBP this_DT to_TO happen_VB and_CC then_RB for_IN an_DT xsession_NN to_TO start_VB with_IN the_DT installer_NN dialogue_NN ._.','irrelevant'
' After_IN a_DT while_NN ,_, the_DT screen_NN goes_VBZ blank_JJ and_CC I_PRP Have_VBP to_TO swith_VB to_IN a_DT different_JJ TTY_NN ._.','relevant'
' At_IN the_DT different_JJ TTY_NN I_PRP can_MD see_VB login_NN text_NN ,_, so_CC I_PRP can_MD only_RB assume_VB that_IN X_NN has_VBZ failed_VBN to_TO start_VB the_DT graphical_JJ session_NN for_IN my_PRP$ VGA_NN card_NN ,_, which_WDT lspci_VBP identifies_NNS as_IN :_: \n_ VGA_NN compatible_JJ controller_NN :_: VIA_NNP Technologies_NNP ,_, Inc._NNP KM400/KN400/P4M800_NNP [_-LRB- S3_NNP UniChrome_NNP ]_-RRB- (_-LRB- rev_NN 01_CD )_-RRB- \n_ I_PRP would_MD really_RB like_VB to_TO test_VB the_DT new_JJ beta_NN release_NN ,_, and_CC especially_RB the_DT new_JJ Mir_NNP stuff_NN ._.','relevant'
" Please_UH let_VB me_PRP know_VB if_IN I_PRP can_MD provide_VB information_NN to_TO help_VB with_IN this_DT bug_NN ,_, and_CC in_IN the_DT meantime_NN ,_, i_PRP 'll_MD look_VB for_IN a_DT workround_NN ._.",'irrelevant'
' Many_JJ thanks_NNS ,_, \n_ Chris_NNP ._.','irrelevant'
' my_PRP$ result_NN of_IN sort_NN -u_JJ x.sorted.utf8_NNP >_XX x.sorted.uniq.utf8_NNS \n_ I_PRP do_VBP this_DT in_IN lucid_JJ and_CC natty_RB ,_, got_VBD the_DT same_JJ problem_NN ._.','relevant'
' my_PRP$ x.diff_NN file_NN ,_, sort_RB -u_VBD erase_NN 686_CD chinese_JJ characters_NNS ._.','irrelevant'
' If_IN I_PRP set_VBD LANG_NNS to_IN en_US.utf8_NNP ,_, sort_RB -u_VBD erase_NN 2716_CD chinese_JJ characters_NNS ._.','irrelevant'
' See_VB attachment_NN please_UH ._.','irrelevant'
' The_DT reason_NN is_VBZ eglibc_NN /_SYM glibc_NN just_RB supports_VBZ CJK_NNP UNIFIED_NNP IDEOGRAPH_NNP (_-LRB- -_, )_-RRB- defined_VBN in_IN  _ iso10646:1993_NNP ._.','relevant'
' EGlibc_NNP /_SYM glibc_DT lack_NN support_NN of_IN CJK_NNP UNIFIED_NNP IDEOGRAPH_NNP A_NNP /_SYM B_NNP /_SYM C_NN /_SYM D_NNP defined_VBN in_IN iso10646:2011_NN ._.','relevant'
' Sorry_UH ,_, lost_VBD a_DT word_NN ._.','irrelevant'
' EGlibc_NNP /_SYM glibc_DT lack_NN support_NN of_IN CJK_NNP UNIFIED_NNP IDEOGRAPH_NNP EXTENSION_NNP A_NNP /_SYM B_NNP /_SYM C_NN /_SYM D_NNP defined_VBN in_IN iso10646:2011_NN ._.','relevant'
